audio_file,speaker_id,label,age
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6012.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6027.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6004.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6033.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6028.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6022.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6015.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6001.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_0001.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_0000.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6006.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6017.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6031.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6010.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_6030.wav,Hin_0037,Male,26
../audioData/NISP-Dataset/Hindi_master/English_Hindi/RECS/0037/Hin_0037_Eng_m_0005.wav,Hin_0037,Male,26
