audio_file,gender,age
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VE1.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VE2.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VE3.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VE4.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VE5.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VV1.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VV2.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VV3.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VV4.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4001_VV5.wav,Male,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VE1.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VE2.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VE3.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VE4.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VE5.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VV1.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VV2.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VV3.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VV4.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4008_VV5.wav,Female,18
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VE1.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VE2.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VE3.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VE4.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VE5.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VV1.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VV2.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VV3.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VV4.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4011_VV5.wav,Female,22
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VE1.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VE2.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VE3.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VE4.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VE5.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VV1.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VV2.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VV3.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4021_VV5.wav,Female,21
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VE1.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VE2.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VE3.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VE4.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VE5.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VV1.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VV2.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VV3.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VV4.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4029_VV5.wav,Female,17
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VE1.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VE2.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VE3.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VE4.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VE5.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VV1.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VV2.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VV3.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VV4.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4030_VV5.wav,Male,16
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4033_VE1.wav,Female,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4033_VE2.wav,Female,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4033_VE3.wav,Female,19
../audioData/BVCVoice/S_02_voice/S_02/multiple_sentences/S_02_4033_VE4.wav,Female,19
